question_text,correct_answer,hint,explanation,difficulty,tags,active
"Arrange (Ktutiu Chahce Notrh) to refer to a valid constituency in Kisii County, Kenya",Kitutu Chache North,A constituency starting with KIT based in Kisii,Kitutu Chache North is located in Kisii County.,5,"geography,constituency,kenya",TRUE
"Arrange (Kiuttu Chhace Sotuh) to refer to a valid constituency in Kisii County, Kenya",Kitutu Chache South,A constituency starting with KIT based in Kisii,Kitutu Chache South is located in Kisii County.,5,"geography,constituency,kenya",TRUE
"Arrange (Kirgiayna Ctrenal) to refer to a valid constituency in Kirinyaga County, Kenya",Kirinyaga Central,A constituency starting with KIR based in Kirinyaga,Kirinyaga Central is located in Kirinyaga County.,4,"geography,constituency,kenya",TRUE
"Arrange (Nrukau Twon Esat) to refer to a valid constituency in Nakuru County, Kenya",Nakuru Town East,A constituency starting with NAK based in Nakuru,Nakuru Town East is located in Nakuru County.,4,"geography,constituency,kenya",TRUE
"Arrange (Nrkauu Twon Wset) to refer to a valid constituency in Nakuru County, Kenya",Nakuru Town West,A constituency starting with NAK based in Nakuru,Nakuru Town West is located in Nakuru County.,4,"geography,constituency,kenya",TRUE
"Arrange (Agelo Usgnoa) to refer to a valid constituency in Siaya County, Kenya",Alego Usonga,A constituency starting with ALE based in Siaya,Alego Usonga is located in Siaya County.,3,"geography,constituency,kenya",TRUE
"Arrange (Bgirano Cnretal) to refer to a valid constituency in Baringo County, Kenya",Baringo Central,A constituency starting with BAR based in Baringo,Baringo Central is located in Baringo County.,3,"geography,constituency,kenya",TRUE
"Arrange (Bgirnao Nrtoh) to refer to a valid constituency in Baringo County, Kenya",Baringo North,A constituency starting with BAR based in Baringo,Baringo North is located in Baringo County.,3,"geography,constituency,kenya",TRUE
"Arrange (Brnigao Stouh) to refer to a valid constituency in Baringo County, Kenya",Baringo South,A constituency starting with BAR based in Baringo,Baringo South is located in Baringo County.,3,"geography,constituency,kenya",TRUE
"Arrange (Bochmgoae Brbaou) to refer to a valid constituency in Kisii County, Kenya",Bomachoge Borabu,A constituency starting with BOM based in Kisii,Bomachoge Borabu is located in Kisii County.,3,"geography,constituency,kenya",TRUE
"Arrange (Bhcooamge Chhace) to refer to a valid constituency in Kisii County, Kenya",Bomachoge Chache,A constituency starting with BOM based in Kisii,Bomachoge Chache is located in Kisii County.,3,"geography,constituency,kenya",TRUE
"Arrange (Boemt Caternl) to refer to a valid constituency in Bomet County, Kenya",Bomet Central,A constituency starting with BOM based in Bomet,Bomet Central is located in Bomet County.,3,"geography,constituency,kenya",TRUE
"Arrange (Bmeot Esat) to refer to a valid constituency in Bomet County, Kenya",Bomet East,A constituency starting with BOM based in Bomet,Bomet East is located in Bomet County.,3,"geography,constituency,kenya",TRUE
"Arrange (Catnel Imetni) to refer to a valid constituency in Meru County, Kenya",Cental Imenti,A constituency starting with CEN based in Meru,Cental Imenti is located in Meru County.,3,"geography,constituency,kenya",TRUE
"Arrange (Edmala Rniave) to refer to a valid constituency in Baringo County, Kenya",Eldama Ravine,A constituency starting with ELD based in Baringo,Eldama Ravine is located in Baringo County.,3,"geography,constituency,kenya",TRUE
