question_text,correct_answer,hint,explanation,difficulty,tags,active
Rearrange (WseoPtok t) to reference a valid county in Kenya,West Pokot,County Code 024,West Pokot is county 024,3,"geography,kenya,counties",TRUE
Rearrange (Wiajr) to reference a valid county in Kenya,Wajir,County Code 008,Wajir is county 008,2,"geography,kenya,counties",TRUE
Rearrange (Vgiiha) to reference a valid county in Kenya,Vihiga,County Code 038,Vihiga is county 038,2,"geography,kenya,counties",TRUE
Rearrange (UsihasnG iu) to reference a valid county in Kenya,Uasin Gishu,County Code 027,Uasin Gishu is county 027,3,"geography,kenya,counties",TRUE
Rearrange (Trnakua) to reference a valid county in Kenya,Turkana,County Code 023,Turkana is county 023,2,"geography,kenya,counties",TRUE
Rearrange (Tinzoa srNa) to reference a valid county in Kenya,Trans Nzoia,County Code 026,Trans Nzoia is county 026,2,"geography,kenya,counties",TRUE
Rearrange (Trhakaa) to reference a valid county in Kenya,Tharaka,County Code 013,Tharaka is county 013,2,"geography,kenya,counties",TRUE
Rearrange (Tvnea Riar) to reference a valid county in Kenya,Tana River,County Code 004,Tana River is county 004,3,"geography,kenya,counties",TRUE
Rearrange (T iaaatteTva) to reference a valid county in Kenya,Taita Taveta,County Code 006,Taita Taveta is county 006,3,"geography,kenya,counties",TRUE
Rearrange (Siaya) to reference a valid county in Kenya,Siaya,County Code 041,Siaya is county 041,2,"geography,kenya,counties",TRUE
Rearrange (Sbamruu) to reference a valid county in Kenya,Samburu,County Code 025,Samburu is county 025,2,"geography,kenya,counties",TRUE
Rearrange (Nyrei) to reference a valid county in Kenya,Nyeri,County Code 019,Nyeri is county 019,2,"geography,kenya,counties",TRUE
Rearrange (Nnraduyaa) to reference a valid county in Kenya,Nyandarua,County Code 018,Nyandarua is county 018,2,"geography,kenya,counties",TRUE
Rearrange (Naryima) to reference a valid county in Kenya,Nyamira,County Code 046,Nyamira is county 046,2,"geography,kenya,counties",TRUE
Rearrange (Nroak) to reference a valid county in Kenya,Narok,County Code 033,Narok is county 033,2,"geography,kenya,counties",TRUE
Rearrange (Ndnai) to reference a valid county in Kenya,Nandi,County Code 029,Nandi is county 029,2,"geography,kenya,counties",TRUE
