question_text,correct_answer,hint,explanation,difficulty,tags,active
Re-arrange [Jomo Kaettyna] :- Was President of Kenya in (1969),Jomo Kenyatta,Initials J K,Jomo Kenyatta served as President of Kenya from 1964 to 1978.,1,"leaders,president,history,kenya",TRUE
Re-arrange [Dieanl aarp Moi] :- Was President of Kenya in (1982),Daniel arap Moi,Initials D A M,Daniel arap Moi served as President of Kenya from 1978 to 2002.,1,"leaders,president,history,kenya",TRUE
Re-arrange [Mawi Kkbaii] :- Was President of Kenya in (2008),Mwai Kibaki,Initials M K,Mwai Kibaki served as President of Kenya from 2002 to 2013.,1,"leaders,president,history,kenya",TRUE
Re-arrange [Uhruu Kaettyna] :- Was President of Kenya in (2013),Uhuru Kenyatta,Initials U K,Uhuru Kenyatta served as President of Kenya from 2013 to 2022.,1,"leaders,president,history,kenya",TRUE
Re-arrange [Wliliam Ruto] :- Was President of Kenya in (2022),William Ruto,Initials W R,William Ruto served as President of Kenya from 2022 to 2025.,1,"leaders,president,history,kenya",TRUE
"Re-arrange [Kuraa] :- Was Kenya's Minister of Justice and Constitutional Affairs, first name Martha.",Karua,Starts with KAR,Martha Karua served as Kenya's Minister of Justice and Constitutional Affairs.,2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Ngilu] :- Was Kenya's Minister of Health, first name Charity.",Ngilu,Starts with NGI,Charity Ngilu served as Kenya's Minister of Health.,2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Oammo] :- Was Kenya's Minister of Defence, first name Raychelle.",Omamo,Starts with OMA,Raychelle Omamo served as Kenya's Minister of Defence.,2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Mehoamd] :- Was Kenya's Minister of Foreign Affairs, first name Amina.",Mohamed,Starts with MOH,Amina Mohamed served as Kenya's Minister of Foreign Affairs.,2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Kamar] :- Was Kenya's Minister of Education, first name Margaret.",Kamar,Starts with KAM,Margaret Kamar served as Kenya's Minister of Education.,2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Krkiaui] :- Was Kenya's Minister of Public Service, Youth and Gender Affairs, first name Sicily.",Kariuki,Starts with KAR,"Sicily Kariuki served as Kenya's Minister of Public Service, Youth and Gender Affairs.",2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Wirgauu] :- Was Kenya's Minister of Devolution and Planning, first name Anne.",Waiguru,Starts with WAI,Anne Waiguru served as Kenya's Minister of Devolution and Planning.,2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Aiyso] :- Was Kenya's Minister of Culture and Social Services, first name Phoebe.",Asiyo,Starts with ASI,Phoebe Asiyo served as Kenya's Minister of Culture and Social Services.,2,"leaders,women,minister,kenya",TRUE
"Re-arrange [Stitoai] :- George once said ""There comes a time when the nation is more important than an individual.""",Saitoti,Starts with SAI,"George Saitoti is known for the quote ""There comes a time when the nation is more important than an individual.""",3,"leaders,quotes,kenya",TRUE
