question_text,correct_answer,hint,explanation,difficulty,tags,active
Rearrange (Sonkio) to reference a valid ward in Likuyani Constituency - Kakamega County in Kenya,Sinoko,The Ward starts with SIN,The ward Sinoko is in Likuyani Constituency - Kakamega County.,1,"geography,ward,kenya",TRUE
Rearrange (Stoabi) to reference a valid ward in Saboti Constituency - Trans Nzoia County in Kenya,Saboti,The Ward starts with SAB,The ward Saboti is in Saboti Constituency - Trans Nzoia County.,1,"geography,ward,kenya",TRUE
Rearrange (Ihritu) to reference a valid ward in Kandara Constituency - Murang'a County in Kenya,Ithiru,The Ward starts with ITH,The ward Ithiru is in Kandara Constituency - Murang'a County.,1,"geography,ward,kenya",TRUE
Rearrange (Mhoao) to reference a valid ward in Taveta Constituency - Taita Taveta County in Kenya,Mahoo,The Ward starts with MAH,The ward Mahoo is in Taveta Constituency - Taita Taveta County.,1,"geography,ward,kenya",TRUE
Rearrange (Kkcopak) to reference a valid ward in Kacheliba Constituency - West Pokot County in Kenya,Kapckok,The Ward starts with KAP,The ward Kapckok is in Kacheliba Constituency - West Pokot County.,1,"geography,ward,kenya",TRUE
Rearrange (Vsioi) to reference a valid ward in Rongai Constituency - Nakuru County in Kenya,Visoi,The Ward starts with VIS,The ward Visoi is in Rongai Constituency - Nakuru County.,1,"geography,ward,kenya",TRUE
Rearrange (Cmehagel) to reference a valid ward in Sotik Constituency - Bomet County in Kenya,Chemagel,The Ward starts with CHE,The ward Chemagel is in Sotik Constituency - Bomet County.,2,"geography,ward,kenya",TRUE
Rearrange (Knllaoei) to reference a valid ward in Kaloleni Constituency - Kilifi County in Kenya,Kaloleni,The Ward starts with KAL,The ward Kaloleni is in Kaloleni Constituency - Kilifi County.,2,"geography,ward,kenya",TRUE
Rearrange (Ksuapesr) to reference a valid ward in Belgut Constituency - Kericho County in Kenya,Kapsuser,The Ward starts with KAP,The ward Kapsuser is in Belgut Constituency - Kericho County.,2,"geography,ward,kenya",TRUE
Rearrange (Sgoir) to reference a valid ward in Chepalungu Constituency - Bomet County in Kenya,Sigor,The Ward starts with SIG,The ward Sigor is in Chepalungu Constituency - Bomet County.,1,"geography,ward,kenya",TRUE
Rearrange (Nnegda) to reference a valid ward in Gatundu South Constituency - Kiambu County in Kenya,Ngenda,The Ward starts with NGE,The ward Ngenda is in Gatundu South Constituency - Kiambu County.,1,"geography,ward,kenya",TRUE
Rearrange (Karrui) to reference a valid ward in Kiambaa Constituency - Kiambu County in Kenya,Karuri,The Ward starts with KAR,The ward Karuri is in Kiambaa Constituency - Kiambu County.,1,"geography,ward,kenya",TRUE
Rearrange (Moigeogsok) to reference a valid ward in Konoin Constituency - Bomet County in Kenya,Mogogosiek,The Ward starts with MOG,The ward Mogogosiek is in Konoin Constituency - Bomet County.,2,"geography,ward,kenya",TRUE
Rearrange (Kamneu) to reference a valid ward in Thika Town Constituency - Kiambu County in Kenya,Kamenu,The Ward starts with KAM,The ward Kamenu is in Thika Town Constituency - Kiambu County.,1,"geography,ward,kenya",TRUE
Rearrange (Lbioi) to reference a valid ward in Dadaab Constituency - Garissa County in Kenya,Liboi,The Ward starts with LIB,The ward Liboi is in Dadaab Constituency - Garissa County.,1,"geography,ward,kenya",TRUE
Rearrange (Ahti) to reference a valid ward in Kitui South Constituency - Kitui County in Kenya,Athi,The Ward starts with ATH,The ward Athi is in Kitui South Constituency - Kitui County.,1,"geography,ward,kenya",TRUE
Rearrange (Catipehs) to reference a valid ward in Mt. Elgon Constituency - Bungoma County in Kenya,Cheptais,The Ward starts with CHE,The ward Cheptais is in Mt. Elgon Constituency - Bungoma County.,2,"geography,ward,kenya",TRUE
