County,Constituency,Ward,Latitude,Longitude
Kakamega,Likuyani,Sinoko,0.8707034145379652,35.06553319661267
Kitui,Mwingi West,Kiomo/Kyethani,-0.867955956,37.97156782068804
Kisumu,Kisumu Central,Nyalenda 'A',-0.131696587,34.74555330251952
Trans Nzoia,Saboti,Saboti,0.9513452141331804,34.80794099332432
Vihiga,Vihiga,South Maragoli,0.002080289,34.69183400323601
Murang'a,Kandara,Ithiru,-0.880414896,36.98797679403155
Taita Taveta,Taveta,Mahoo,-3.359470093,37.702032618930176
Homa Bay,Kabondo Kasipul,Kokwanyo/Kakelo,-0.450885888,34.79918966425829
West Pokot,Kacheliba,Kapckok,1.8191255657946095,35.08398865430306
Nakuru,Rongai,Visoi,-0.156996745,35.87209040571147
Bomet,Sotik,Chemagel,-0.694149997,35.13286313136033
Kilifi,Kaloleni,Kaloleni,-3.787372859,39.63779644360564
Kericho,Belgut,Kapsuser,-0.361065589,35.22190206291567
Kilifi,Rabai,Rabai/Kisurutini,-3.941009406,39.56110454432392
Bomet,Chepalungu,Sigor,-0.940675051,35.29619649380704
Kiambu,Gatundu South,Ngenda,-1.010138296,36.90413399352472
Nairobi,Embakasi West,Umoja II,-1.283227669,36.89489880989991
Kiambu,Kiambaa,Karuri,-1.168953214,36.75347980828773
Bomet,Konoin,Mogogosiek,-0.624098459,35.28559187100676
Kiambu,Thika Town,Kamenu,-1.072973247,37.12727495
Garissa,Dadaab,Liboi,0.2407480820646488,40.79868418500506
Busia,Teso North,Ang'Urai East,0.7376650646645592,34.39936028892616
Kitui,Kitui South,Athi,-2.442952774,38.54084633339511
Bungoma,Mt. Elgon,Cheptais,0.8333082291358688,34.44797125075447
Kericho,Sigowet/Soin,Soliat,-0.29684661,35.11815903558973
Kiambu,Ruiru,Kahawa Wendani,-1.198462337,36.92521131492286
Nyandarua,Kinangop,Nyakio,-0.779128917,36.62981043561381
Murang'a,Kigumo,Kahumbu,-0.859433251,37.08114099230336
Nyandarua,Ol Jorok,Weru,-0.126024187,36.38843048
